,gameid,league,year,split,playoffs,date,patch,participantid,side,position,playername,playerid,teamname,gamelength,result,totalgold,ELO,opp_participantid,opp_side,opp_position,opp_playername,opp_playerid,opp_teamname,opp_result,opp_totalgold,opp_ELO,golddiff
0,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,1,Blue,top,Khan,oe:player:b9972f46c1e52797d66236b118d2970,SK Telecom T1,1632,1,13838.602941176472,1000,6,Red,top,Lindarang,oe:player:310e4ace014984819dd016f4bd7e763,Jin Air Green Wings,0,9818.382352941177,1000,4020.2205882352955
1,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,2,Blue,jng,Clid,oe:player:d3abb04a273ed8615be5f54a391818e,SK Telecom T1,1632,1,11540.073529411764,1000,7,Red,jng,Malrang,oe:player:b06f165ee2371a61d3be74d413e1e21,Jin Air Green Wings,0,8562.132352941177,1000,2977.9411764705874
2,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,SK Telecom T1,1632,1,12629.779411764706,1000,8,Red,mid,CheonGo,oe:player:5dd7c240d275136c32ad41e1b71cb14,Jin Air Green Wings,0,9905.514705882353,1000,2724.264705882353
3,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,4,Blue,bot,Teddy,oe:player:2b5fa564a1259b97bc238fbfa719b07,SK Telecom T1,1632,1,13881.617647058823,1000,9,Red,bot,Route,oe:player:9405c3aff9112c3c60d03b94792877d,Jin Air Green Wings,0,10257.35294117647,1000,3624.264705882353
4,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,5,Blue,sup,Mata,oe:player:357742da3f7a2fcec0fcffa840db38c,SK Telecom T1,1632,1,8809.191176470587,1000,10,Red,sup,Kellin,oe:player:b0ec3df39d61f953e7af0afd8eb8c4a,Jin Air Green Wings,0,6323.161764705882,1000,2486.0294117647054
5,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,6,Red,top,Lindarang,oe:player:310e4ace014984819dd016f4bd7e763,Jin Air Green Wings,1632,0,9818.382352941177,1000,1,Blue,top,Khan,oe:player:b9972f46c1e52797d66236b118d2970,SK Telecom T1,1,13838.602941176472,1000,-4020.2205882352955
6,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,7,Red,jng,Malrang,oe:player:b06f165ee2371a61d3be74d413e1e21,Jin Air Green Wings,1632,0,8562.132352941177,1000,2,Blue,jng,Clid,oe:player:d3abb04a273ed8615be5f54a391818e,SK Telecom T1,1,11540.073529411764,1000,-2977.9411764705874
7,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,8,Red,mid,CheonGo,oe:player:5dd7c240d275136c32ad41e1b71cb14,Jin Air Green Wings,1632,0,9905.514705882353,1000,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,SK Telecom T1,1,12629.779411764706,1000,-2724.264705882353
8,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,9,Red,bot,Route,oe:player:9405c3aff9112c3c60d03b94792877d,Jin Air Green Wings,1632,0,10257.35294117647,1000,4,Blue,bot,Teddy,oe:player:2b5fa564a1259b97bc238fbfa719b07,SK Telecom T1,1,13881.617647058823,1000,-3624.264705882353
9,ESPORTSTMNT01/1041158,LCK,2019,Spring,0,2019-01-16 07:35:21,9.01,10,Red,sup,Kellin,oe:player:b0ec3df39d61f953e7af0afd8eb8c4a,Jin Air Green Wings,1632,0,6323.161764705882,1000,5,Blue,sup,Mata,oe:player:357742da3f7a2fcec0fcffa840db38c,SK Telecom T1,1,8809.191176470587,1000,-2486.0294117647054
10,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,1,Blue,top,Lindarang,oe:player:310e4ace014984819dd016f4bd7e763,Jin Air Green Wings,1986,0,10484.592145015107,1000,6,Red,top,Khan,oe:player:b9972f46c1e52797d66236b118d2970,SK Telecom T1,1,12098.791540785498,1000,-1614.1993957703908
11,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,2,Blue,jng,Malrang,oe:player:b06f165ee2371a61d3be74d413e1e21,Jin Air Green Wings,1986,0,10010.574018126888,1000,7,Red,jng,Clid,oe:player:d3abb04a273ed8615be5f54a391818e,SK Telecom T1,1,9991.54078549849,1000,19.033232628398764
12,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,3,Blue,mid,Yaharong,oe:player:942180f580887b12bcb04219e0dde84,Jin Air Green Wings,1986,0,9909.063444108762,1000,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,SK Telecom T1,1,11835.951661631421,1000,-1926.888217522659
13,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,4,Blue,bot,Route,oe:player:9405c3aff9112c3c60d03b94792877d,Jin Air Green Wings,1986,0,11897.583081570996,1000,9,Red,bot,Teddy,oe:player:2b5fa564a1259b97bc238fbfa719b07,SK Telecom T1,1,14933.836858006041,1000,-3036.2537764350454
14,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,5,Blue,sup,Kellin,oe:player:b0ec3df39d61f953e7af0afd8eb8c4a,Jin Air Green Wings,1986,0,6846.525679758309,1000,10,Red,sup,Mata,oe:player:357742da3f7a2fcec0fcffa840db38c,SK Telecom T1,1,10127.49244712991,1000,-3280.9667673716003
15,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,6,Red,top,Khan,oe:player:b9972f46c1e52797d66236b118d2970,SK Telecom T1,1986,1,12098.791540785498,1000,1,Blue,top,Lindarang,oe:player:310e4ace014984819dd016f4bd7e763,Jin Air Green Wings,0,10484.592145015107,1000,1614.1993957703908
16,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,7,Red,jng,Clid,oe:player:d3abb04a273ed8615be5f54a391818e,SK Telecom T1,1986,1,9991.54078549849,1000,2,Blue,jng,Malrang,oe:player:b06f165ee2371a61d3be74d413e1e21,Jin Air Green Wings,0,10010.574018126888,1000,-19.033232628398764
17,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,SK Telecom T1,1986,1,11835.951661631421,1000,3,Blue,mid,Yaharong,oe:player:942180f580887b12bcb04219e0dde84,Jin Air Green Wings,0,9909.063444108762,1000,1926.888217522659
18,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,9,Red,bot,Teddy,oe:player:2b5fa564a1259b97bc238fbfa719b07,SK Telecom T1,1986,1,14933.836858006041,1000,4,Blue,bot,Route,oe:player:9405c3aff9112c3c60d03b94792877d,Jin Air Green Wings,0,11897.583081570996,1000,3036.2537764350454
19,ESPORTSTMNT01/1041166,LCK,2019,Spring,0,2019-01-16 08:42:10,9.01,10,Red,sup,Mata,oe:player:357742da3f7a2fcec0fcffa840db38c,SK Telecom T1,1986,1,10127.49244712991,1000,5,Blue,sup,Kellin,oe:player:b0ec3df39d61f953e7af0afd8eb8c4a,Jin Air Green Wings,0,6846.525679758309,1000,3280.9667673716003
20,ESPORTSTMNT01/1041205,LCK,2019,Spring,0,2019-01-16 10:41:54,9.01,1,Blue,top,Nuguri,oe:player:f17b90d1dd0f1814bb1f82f77c2f861,DWG KIA,2255,1,14123.0155210643,1000,6,Red,top,CuVee,oe:player:d3a36b831bf6dfc749f79a1d3a71fad,Gen.G,0,10880.620842572062,1000,3242.394678492239
21,ESPORTSTMNT01/1041205,LCK,2019,Spring,0,2019-01-16 10:41:54,9.01,2,Blue,jng,Canyon,oe:player:92544d7a994bd6841cccd9f6e42e3de,DWG KIA,2255,1,10758.492239467849,1000,7,Red,jng,Peanut,oe:player:dda4a873265dfd06df50a0d8a294908,Gen.G,0,8628.026607538803,1000,2130.465631929046
22,ESPORTSTMNT01/1041205,LCK,2019,Spring,0,2019-01-16 10:41:54,9.01,3,Blue,mid,ShowMaker,oe:player:5f8ff49cd56eae61d635966b183a451,DWG KIA,2255,1,12733.303769401331,1000,8,Red,mid,Fly,oe:player:6c1fa8d6ae91f559b9d317477dad3ea,Gen.G,0,9700.044345898004,1000,3033.2594235033266
23,ESPORTSTMNT01/1041205,LCK,2019,Spring,0,2019-01-16 10:41:54,9.01,4,Blue,bot,Nuclear,oe:player:c49e6d739a7a7356e88aa84503666ee,DWG KIA,2255,1,12641.507760532151,1000,9,Red,bot,Ruler,oe:player:eada4723af6f51cf2391d85b5fde49b,Gen.G,0,12040.443458980046,1000,601.0643015521055
24,ESPORTSTMNT01/1041205,LCK,2019,Spring,0,2019-01-16 10:41:54,9.01,5,Blue,sup,Hoit,oe:player:ed4b59fdd87aa318a52777affd42d00,DWG KIA,2255,1,7269.445676274945,1000,10,Red,sup,Life,oe:player:dea5251e486aed942e1bc06e1d5c116,Gen.G,0,6642.039911308204,1000,627.4057649667411
